Rank,Artist,Album,Certified_Units_Millions,Estimated_Wholesale_USD,Certification_Level,Certification_Type,Source
91,Garth Brooks,Sevens,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
92,Garth Brooks,The Chase,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
93,Garth Brooks,Garth Brooks,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
94,Garth Brooks,In Pieces,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
95,Garth Brooks,The Hits,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
96,George Michael,Faith,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
97,Green Day,Dookie,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
98,Hammer,Please Hammer Don’t Hurt ‘Em,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
99,Lauryn Hill,The Miseducation of Lauryn Hill,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
100,Led Zeppelin,Led Zeppelin,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
