has_handle,counts,counts_tobit,fem_dum,dem_dum,rep_dum,state_num,sentiment_total,party,womens_issues,education,health_care,ideology_total,BlackorLatino_legislator,years_since_elected
0,NA,0,0,0,1,20,NA,R,NA,NA,NA,NA,NA,NA
1,2315,2315,0,0,1,40,0.590064764,R,0.046220303,0.031965442,0.01425486,0.125269979,0,NA
0,NA,0,0,0,1,33,NA,R,NA,NA,NA,NA,0,NA
1,3035,3035,0,1,0,21,0.074464589,D,0.083360791,0.004942339,0.078418449,0.025370672,NA,NA
1,3224,3224,0,0,1,40,0.101116627,R,0.018300248,0.009925558,0.00837469,0.210607931,NA,NA
1,583,583,0,1,0,33,0.572898805,D,0.046312179,0.036020584,0.010291595,0.013722122,0,NA
0,NA,0,0,1,0,7,NA,D,NA,NA,NA,NA,0,NA
0,NA,0,0,0,1,28,NA,R,NA,NA,NA,NA,NA,8
1,NA,0,0,0,1,28,NA,R,NA,NA,NA,NA,0,2
1,195,195,0,0,1,24,0.379487216,R,0.020512821,0.010256411,0.010256411,0.333333343,0,5
0,NA,0,0,1,0,21,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,0,0,1,41,NA,R,NA,NA,NA,NA,0,NA
0,NA,0,0,1,0,20,NA,D,NA,NA,NA,NA,0,NA
0,NA,0,0,0,1,29,NA,R,NA,NA,NA,NA,0,NA
1,11,11,0,0,1,33,0,R,0,0,0,0.090909094,0,NA
0,NA,0,0,0,1,29,NA,R,NA,NA,NA,NA,NA,NA
1,1195,1195,0,1,0,47,0.314644396,D,0.026778243,0.018410042,0.008368201,0.166527182,0,NA
0,NA,0,0,0,1,20,NA,R,NA,NA,NA,NA,NA,NA
1,1012,1012,0,0,1,34,0.099802375,R,0.054347824,0.03063241,0.023715414,0.408102751,NA,NA
1,1203,1203,0,0,1,10,0.734829545,R,0.019950125,0.015793849,0.004156276,0.138819605,NA,NA
0,NA,0,0,1,0,29,NA,D,NA,NA,NA,NA,NA,NA
1,1712,1712,0,1,0,30,0.635514021,D,0.051401868,0.043808412,0.007593458,0.093457945,0,NA
0,NA,0,0,1,0,29,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,1,1,0,8,NA,D,NA,NA,NA,NA,NA,NA
1,1870,1870,1,0,1,11,0.664705873,R,0.02459893,0.018716577,0.005882353,0.142245978,NA,NA
0,NA,0,0,1,0,18,NA,D,NA,NA,NA,NA,NA,13
1,3213,3213,0,0,1,3,0.3899782,R,0.023965141,0.017429193,0.006535948,0.205726728,0,NA
1,3194,3194,0,0,1,27,0.62210393,R,0.012836569,0.009079524,0.003757044,0.128678769,0,NA
1,32,32,0,0,1,33,0.71875,R,0,0,0,0.09375,0,NA
1,375,375,0,1,0,1,0.34133333,D,0.11733333,0.058666665,0.058666665,0.021333329,0,6
1,483,483,0,0,1,3,0.440993786,R,0.026915114,0.020703934,0.00621118,0.209109738,0,NA
0,NA,0,0,0,1,12,NA,R,NA,NA,NA,NA,0,NA
0,NA,0,0,1,0,29,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,0,1,0,22,NA,D,NA,NA,NA,NA,0,NA
0,NA,0,0,1,0,48,NA,D,NA,NA,NA,NA,0,NA
0,NA,0,0,1,0,7,NA,D,NA,NA,NA,NA,0,NA
0,NA,0,0,1,0,36,NA,D,NA,NA,NA,NA,1,NA
1,3197,3197,1,1,0,20,0.403816044,D,0.020957148,0.01438849,0.006568658,0.108539253,0,NA
1,8,8,1,1,0,25,0.625,D,0,0,0,0.125,1,14
1,1789,1789,1,1,0,30,0.745667994,D,0.050307438,0.032420348,0.017887088,0.040245943,NA,NA
1,3197,3197,1,1,0,42,0.366280913,D,0.027525805,0.014075696,0.013450109,0.035658434,1,NA
1,186,186,1,1,0,30,0.252688169,D,0.064516127,0.005376344,0.059139784,0.07526882,NA,NA
1,1190,1190,1,1,0,31,0.284873962,D,0.033613447,0.01512605,0.018487396,0.047899157,1,NA
1,18,18,0,0,1,19,0.722222209,R,0,0,0,0.222222224,NA,NA
1,10,10,0,0,1,33,0.800000012,R,0,0,0,0.200000003,NA,NA
1,1180,1180,0,1,0,19,0.805932164,D,0.022033898,0.022033898,0,0.145762712,NA,NA
1,3224,3224,0,1,0,33,0.758064508,D,0.036290321,0.028225806,0.008064516,0.091811411,1,NA
0,NA,0,0,1,0,19,NA,D,NA,NA,NA,NA,NA,NA
1,1049,1049,1,0,1,41,0.595805526,R,0.022878932,0.010486177,0.012392755,0.179218292,NA,NA
1,1003,1003,1,1,0,17,0.472582281,D,0.039880358,0.01894317,0.020937188,0.194416746,0,NA
1,1949,1949,0,1,0,11,0.51410985,D,0.068240121,0.02975885,0.038481273,0.077988714,NA,NA
0,NA,0,1,0,1,16,NA,R,NA,NA,NA,NA,0,NA
1,72,72,1,0,1,36,0.430555582,R,0.069444448,0.041666668,0.027777778,-0.02777778,NA,NA
1,2601,2601,1,1,0,14,0.462129951,D,0.075740099,0.060745869,0.014994233,0.02537486,0,NA
0,NA,0,1,1,0,44,NA,D,NA,NA,NA,NA,0,27
1,259,259,1,1,0,19,0.806949854,D,0.06949807,0.050193049,0.019305019,0.06949807,0,NA
1,543,543,1,1,0,5,0.616942942,D,0.049723759,0.031307552,0.018416205,-0.040515646,1,NA
1,9,9,1,1,0,14,0.333333373,D,0,0,0,-0.333333343,0,NA
1,2359,2359,1,0,1,23,0.678253531,R,0.05086901,0.041966934,0.008902078,0.116998732,0,NA
0,NA,0,1,0,1,44,NA,R,NA,NA,NA,NA,0,17
0,NA,0,1,1,0,21,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,1,0,1,29,NA,R,NA,NA,NA,NA,0,NA
0,NA,0,1,0,1,7,NA,R,NA,NA,NA,NA,NA,NA
1,112,112,1,0,1,34,0.848214269,R,0.035714287,0.035714287,0,0.062499996,0,NA
0,NA,0,1,1,0,20,NA,D,NA,NA,NA,NA,NA,NA
1,2286,2286,1,1,0,20,0.377077878,D,0.05686789,0.041119859,0.015748031,-0.009623796,NA,NA
1,771,771,1,0,1,23,0.359273672,R,0.023346305,0.010376135,0.012970169,0.241245151,NA,NA
0,NA,0,1,1,0,21,NA,D,NA,NA,NA,NA,NA,NA
1,598,598,1,0,1,38,0.505016685,R,0.020066889,0.011705685,0.008361204,0.229096979,NA,NA
0,NA,0,1,1,0,21,NA,D,NA,NA,NA,NA,0,NA
1,478,478,1,1,0,30,0.702928901,D,0.027196653,0.020920502,0.006276151,0.146443516,1,NA
1,1150,1150,1,1,0,30,0.56695652,D,0.035652176,0.016521739,0.019130435,0.075652175,1,NA
0,NA,0,1,1,0,16,NA,D,NA,NA,NA,NA,0,NA
1,25,25,1,1,0,44,0.360000014,D,0.119999997,0.039999999,0.079999998,-0.039999992,0,3
1,NA,0,0,1,0,33,NA,D,NA,NA,NA,NA,0,NA
1,554,554,0,0,1,30,0.393501818,R,0.036101084,0.016245488,0.019855596,0.034296036,NA,NA
0,NA,0,0,1,0,33,NA,D,NA,NA,NA,NA,0,NA
1,630,630,0,1,0,2,0.576190472,D,0.036507938,0.036507938,0,0.125396818,1,NA
0,NA,0,0,1,0,14,NA,D,NA,NA,NA,NA,0,NA
0,NA,0,0,1,0,36,NA,D,NA,NA,NA,NA,0,NA
1,230,230,0,0,1,34,0.856521726,R,0.052173913,0.026086956,0.026086956,0.165217385,0,NA
0,NA,0,0,0,1,7,NA,R,NA,NA,NA,NA,NA,NA
1,3199,3199,0,0,1,4,0.120975316,R,0.023444826,0.012503907,0.010940919,0.367614865,0,5
1,32,32,0,0,1,33,0.75,R,0.03125,0.03125,0,0.1875,NA,NA
1,3241,3241,0,1,0,5,0.403579116,D,0.060166612,0.032088861,0.028077753,-0.07713668,1,NA
1,136,136,0,1,0,19,0.647058845,D,0.029411765,0.029411765,0,0.095588237,NA,NA
1,348,348,0,0,1,37,0.385057509,R,0.020114943,0.014367816,0.005747126,0.201149434,0,NA
0,NA,0,0,1,0,7,NA,D,NA,NA,NA,NA,1,NA
1,3190,3190,0,1,0,20,0.682445168,D,0.048589341,0.028526645,0.020062696,0.113479622,NA,NA
1,3181,3181,0,1,0,31,0.046526253,D,0.02011946,0.012574662,0.007544797,0.096824899,NA,NA
1,3091,3091,0,1,0,40,0.36719507,D,0.046910383,0.040116467,0.006793918,0.094144285,NA,NA
1,NA,0,1,0,1,2,NA,R,NA,NA,NA,NA,0,NA
1,2361,2361,1,1,0,33,0.611605227,D,0.04489623,0.021601016,0.023295214,0.025836512,0,NA
0,NA,0,0,0,1,39,NA,R,NA,NA,NA,NA,0,NA
1,1529,1529,1,1,0,20,0.419882268,D,0.047089603,0.011772401,0.035317201,-0.001308054,NA,NA
1,4,4,0,1,0,29,0,D,0,0,0,0,NA,NA
1,464,464,0,1,0,41,0.551724136,D,0.056034483,0.049568966,0.006465517,0.086206898,NA,NA
1,3213,3213,0,1,0,41,0.314659178,D,0.036725804,0.01774043,0.018985372,0.077497669,0,NA
1,561,561,0,0,1,2,0.368983954,R,0.035650626,0.01604278,0.019607844,0.199643493,0,NA
1,33,33,0,1,0,17,0.636363626,D,0.030303031,0.030303031,0,0.424242437,0,NA
1,3166,3166,0,1,0,12,0.167719513,D,0.064118758,0.030953884,0.033164877,0.011686668,0,NA
1,80,80,0,0,1,40,0.75,R,0.025,0.0125,0.0125,0.199999988,0,NA
1,2966,2966,0,1,0,30,0.295347273,D,0.006405934,0.003708699,0.002697235,0.034052595,1,NA
0,NA,0,0,1,0,37,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,0,0,1,29,NA,R,NA,NA,NA,NA,NA,NA
1,4092,4092,0,1,0,37,0.011241436,D,0.038123168,0.011730205,0.026392963,0.046920821,1,NA
1,47,47,0,0,1,7,0.574468076,R,0.04255319,0.021276595,0.021276595,0.170212775,NA,NA
0,NA,0,0,1,0,14,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,0,1,0,2,NA,D,NA,NA,NA,NA,NA,NA
1,3166,3166,1,1,0,20,0.328490198,D,0.03758686,0.020530637,0.017056223,0.004106134,0,NA
1,3199,3199,0,1,0,5,0.470146954,D,0.024695218,0.011253517,0.0134417,0.049703024,0,NA
1,1946,1946,1,0,1,25,0.270811915,R,0.023638234,0.013874615,0.009763618,0.216341197,0,3
1,NA,0,1,0,1,12,NA,R,NA,NA,NA,NA,0,NA
1,3232,3232,1,1,0,4,0.197091579,D,0.052289605,0.03960396,0.012685644,0.019801974,0,3
1,3187,3187,1,1,0,17,0.410417318,D,0.02792595,0.013492312,0.014433636,0.103545651,NA,NA
1,248,248,0,0,1,26,0.108870953,R,0.044354837,0.012096774,0.032258064,0.193548381,0,NA
0,NA,0,0,0,1,3,NA,R,NA,NA,NA,NA,0,NA
1,3174,3174,1,1,0,5,0.601134181,D,0.073724009,0.02425961,0.049464397,0.028985515,NA,NA
1,361,361,1,0,1,14,0.592797756,R,0.024930747,0.024930747,0,0.108033247,0,NA
1,389,389,0,0,1,35,0.727506399,R,0.028277636,0.020565553,0.007712082,0.141388178,0,NA
1,29,29,1,0,1,23,0.758620679,R,0.068965517,0.068965517,0,0.172413796,0,NA
0,NA,0,1,1,0,16,NA,D,NA,NA,NA,NA,1,NA
1,162,162,1,0,1,29,0.623456776,R,0.018518519,0.012345679,0.00617284,0.549382746,0,NA
1,NA,0,1,1,0,2,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,1,1,0,21,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,1,0,1,29,NA,R,NA,NA,NA,NA,0,NA
1,4,4,1,1,0,40,1,D,0.25,0,0.25,-0.25,NA,NA
1,31,31,1,1,0,2,0.806451559,D,0,0,0,0.064516127,1,NA
1,1215,1215,1,1,0,47,0.448559642,D,0.049382716,0.016460905,0.03292181,0.073251024,NA,NA
1,239,239,1,1,0,14,0.715481162,D,0.041841004,0.020920502,0.020920502,0.008368209,0,NA
1,15,15,1,1,0,20,0.666666687,D,0,0,0,0.06666667,0,NA
1,55,55,1,1,0,41,0.799999952,D,0,0,0,0.109090909,0,NA
1,29,29,1,0,1,29,1,R,0.034482758,0.034482758,0,0.517241359,NA,NA
0,NA,0,1,1,0,33,NA,D,NA,NA,NA,NA,0,NA
1,126,126,1,1,0,6,0.746031702,D,0.031746034,0.031746034,0,0.095238097,NA,NA
0,NA,0,1,0,0,44,NA,Ind,NA,NA,NA,NA,0,5
0,NA,0,1,1,0,18,NA,D,NA,NA,NA,NA,NA,12
1,3106,3106,1,1,0,44,0.202833205,D,0.037025113,0.011912428,0.025112685,0.047005802,0,7
1,466,466,1,1,0,20,0.598712444,D,0.03004292,0.023605151,0.006437768,0.105150208,0,NA
0,NA,0,1,1,0,29,NA,D,NA,NA,NA,NA,NA,NA
1,2722,2722,1,1,0,24,0.331006616,D,0.049595885,0.024614254,0.024981631,0.062454075,NA,2
1,57,57,1,1,0,9,0.736842096,D,0.01754386,0.01754386,0,0.052631579,1,NA
0,NA,0,1,1,0,18,NA,D,NA,NA,NA,NA,NA,4
1,2128,2128,1,0,1,14,0.223214298,R,0.032424811,0.024906015,0.007518797,0.153665408,0,NA
0,NA,0,0,1,0,9,NA,D,NA,NA,NA,NA,NA,NA
1,198,198,0,0,1,43,0.868686855,R,0.005050505,0.005050505,0,0.106060609,0,10
1,67,67,0,0,1,40,0.820895493,R,0.029850746,0.014925373,0.014925373,0.119402982,0,NA
