Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Genre,director,IMDBrating,contentRating,duration
666,Eragon,250425512,75030163,30%,175395349,0.7,2006,Fantasy,Stefen Fangmeier,5.1,PG,PT1H44M
667,Brother Bear,250397798,85336277,34.10%,165061521,0.659,2003,Adventure,Aaron Blaise,6.8,G,PT1H25M
668,The Godfather,250341816,136381073,54.50%,113960743,0.455,1972,Drama,Francis Ford Coppola,9.2,R,PT2H55M
669,The Mask of Zorro,250288523,94095523,37.60%,156193000,0.624,1998,Action,Martin Campbell,6.8,PG-13,PT2H16M
670,The Bad Guys,250162278,97233630,38.90%,152928648,0.611,2022,No Data,Pierre Perifel,6.8,PG,PT1H40M
671,The Ring,249348933,129128133,51.80%,120220800,0.482,2002,Drama,Gore Verbinski,7.1,PG-13,PT1H55M
672,The Blair Witch Project,248639099,140539099,56.50%,108100000,0.435,1999,Horror,Daniel Myrick,6.5,R,PT1H21M
673,Unbreakable,248118121,95011339,38.30%,153106782,0.617,2000,Science Fiction,M. Night Shyamalan,7.3,PG-13,PT1H46M
674,Love Actually,247933248,59696144,24.10%,188237104,0.759,2003,Comedy,Richard Curtis,7.6,R,PT2H15M
675,Journey to the West: The Demons Strike Back,247585244,880346,0.40%,246704898,0.996,2017,No Data,Hark Tsui,5.4,PG-13,PT1H49M
676,Dumb and Dumber,247290327,127190327,51.40%,120100000,0.486,1994,Comedy,Peter Farrelly,7.3,PG-13,PT1H47M
