City,Country,Venue,CityNight,NumOpeningActs,TicketsSold,TicketsAvailable,SoldOut,Revenue,Tour
Los Angeles,United States,Staples Center,4,1,54900,54900,1,3927154,Speak Now World Tour
San Jose,United States,HP Pavilion,1,1,24827,24827,1,1825448,Speak Now World Tour
San Jose,United States,HP Pavilion,2,1,24827,24827,1,1825448,Speak Now World Tour
Sacramento,United States,Power Balance Pavilion,1,1,12432,12432,1,934326,Speak Now World Tour
Portland,United States,Rose Garden Arena,1,1,13610,13610,1,903445,Speak Now World Tour
Tacoma,United States,Tacoma Dome,1,1,19904,19904,1,1289430,Speak Now World Tour
Vancouver,Canada,Rogers Arena,1,1,26030,26030,1,2190680,Speak Now World Tour
Vancouver,Canada,Rogers Arena,2,1,26030,26030,1,2190680,Speak Now World Tour
Nashville,United States,Bridgestone Arena,1,1,28178,28178,1,1841134,Speak Now World Tour
Nashville,United States,Bridgestone Arena,2,1,28178,28178,1,1841134,Speak Now World Tour
Bossier City,United States,CenturyLink Center,1,1,11510,11510,1,728546,Speak Now World Tour
Tulsa,United States,BOK Center,1,1,12546,12546,1,907573,Speak Now World Tour
Kansas City,United States,Arrowhead Stadium,1,1,48562,48562,1,3148046,Speak Now World Tour
Denver,United States,Pepsi Center,1,1,12908,12908,1,834916,Speak Now World Tour
Salt Lake City,United States,EnergySolutions Arena,1,1,13720,13720,1,896946,Speak Now World Tour
Atlanta,United States,Philips Arena,1,1,26244,26244,1,1726661,Speak Now World Tour
Atlanta,United States,Philips Arena,2,1,26244,26244,1,1726661,Speak Now World Tour
North Little Rock,United States,Verizon Arena,1,1,13566,13566,1,856123,Speak Now World Tour
New Orleans,United States,New Orleans Arena,1,1,12943,12943,1,830289,Speak Now World Tour
Arlington,United States,Cowboys Stadium,1,1,55451,55451,1,4337062,Speak Now World Tour
Louisville,United States,KFC Yum! Center,1,1,14848,14848,1,1003828,Speak Now World Tour
Lubbock,United States,United Spirit Arena,1,1,10419,10419,1,710426,Speak Now World Tour
Oklahoma City,United States,Chesapeake Energy Arena,1,1,11592,11592,1,758364,Speak Now World Tour
San Diego,United States,Valley View Casino Center,1,1,10834,10834,1,792634,Speak Now World Tour
Glendale,United States,Jobing.com Arena,1,1,27029,27029,1,1826025,Speak Now World Tour
Glendale,United States,Jobing.com Arena,2,1,27029,27029,1,1826025,Speak Now World Tour
San Antonio,United States,AT&T Center,1,1,13851,13851,1,901535,Speak Now World Tour
Austin,United States,Frank Erwin Center,1,1,11999,11999,1,752078,Speak Now World Tour
Lexington,United States,Rupp Arena,1,1,16237,16237,1,1041935,Speak Now World Tour
Memphis,United States,FedExForum,1,1,12604,12604,1,820036,Speak Now World Tour
Houston,United States,Minute Maid Park,1,1,42095,42095,1,3435756,Speak Now World Tour
Jacksonville,United States,Jacksonville Veterans Memorial Arena,1,1,11785,11785,1,749099,Speak Now World Tour
Tampa,United States,St. Pete Times Forum,1,1,13695,13695,1,914300,Speak Now World Tour
Miami,United States,American Airlines Arena,1,1,12153,12153,1,786904,Speak Now World Tour
Charlotte,United States,Time Warner Cable Arena,1,1,14272,14272,1,920903,Speak Now World Tour
Raleigh,United States,RBC Center,1,1,13567,13567,1,866056,Speak Now World Tour
Columbia,United States,Colonial Life Arena,1,1,12807,12807,1,828231,Speak Now World Tour
New York,United States,Madison Square Garden,1,1,26652,26652,1,1988411,Speak Now World Tour
New York,United States,Madison Square Garden,2,1,26652,26652,1,1988411,Speak Now World Tour
Perth,Australia,Burswood Dome,1,1,15142,15142,1,1878530,Speak Now World Tour
Adelaide,Australia,Adelaide Entertainment Centre,1,1,8589,8589,1,1075370,Speak Now World Tour
Brisbane,Australia,Brisbane Entertainment Centre,1,1,19870,19870,1,2416030,Speak Now World Tour
Brisbane,Australia,Brisbane Entertainment Centre,2,1,19870,19870,1,2416030,Speak Now World Tour
Sydney,Australia,Allphones Arena,1,1,27900,27900,1,3420360,Speak Now World Tour
Sydney,Australia,Allphones Arena,2,1,27900,27900,1,3420360,Speak Now World Tour
Melbourne,Australia,Rod Laver Arena,1,1,33793,33793,1,4151650,Speak Now World Tour
Melbourne,Australia,Rod Laver Arena,2,1,33793,33793,1,4151650,Speak Now World Tour
Melbourne,Australia,Rod Laver Arena,3,1,33793,33793,1,4151650,Speak Now World Tour
Auckland,New Zealand,Vector Arena,1,1,32585,32585,1,2888560,Speak Now World Tour
Auckland,New Zealand,Vector Arena,2,1,32585,32585,1,2888560,Speak Now World Tour
Auckland,New Zealand,Vector Arena,3,1,32585,32585,1,2888560,Speak Now World Tour
Omaha,United States,CenturyLink Center Omaha,1,2,27877,27877,1,2243164,The Red Tour
Omaha,United States,CenturyLink Center Omaha,2,2,27877,27877,1,2243164,The Red Tour
St. Louis,United States,Scottrade Center,1,2,28582,28582,1,2346203,The Red Tour
St. Louis,United States,Scottrade Center,2,2,28582,28582,1,2346203,The Red Tour
Charlotte,United States,Time Warner Cable Arena,1,2,14686,14686,1,1162733,The Red Tour
Columbia,United States,Colonial Life Arena,1,2,12490,12490,1,996114,The Red Tour
